Packet Loss Rate,Accurate Flow Ratio,Average Accuracy
0.0,0.9887005649717514,0.9783887428337207
0.02,0.07692307692307693,0.8898960707663157
0.04,0.08074534161490683,0.7428599134832767
0.06,0.07717678100263853,0.3461191977219884
0.08,0.07836990595611286,0.37890166741591513
0.1,0.058319039451114926,0.15211742441468912
0.12,0.10095344924284913,-0.07828154148582733
0.14,0.06868577609518658,-0.8028687431568136
0.16,0.05587170201758924,-1.1230613394344444
0.18,0.05157297576070139,-1.9811263054024826
0.2,0.09484956654767976,-2.715816122837238
