Packet Loss Rate,Accurate Flow Ratio,Average Accuracy
0.0,0.059,0.7441501997330776
0.02,0.063,0.6633418969104664
0.04,0.0415,0.6157521476017954
0.06,0.0565,0.7301065156578687
0.08,0.0965,0.7760263125124829
0.1,0.056,0.6714218839301339
0.12,0.0515,0.6172178071264128
0.14,0.0345,0.5702609000893173
0.16,0.0475,0.6368972366083587
0.18,0.0,0.0
0.2,0.056,0.7598244363009103
